119,12460,1,1603595,7230,5428,510d47e4-2955-a3d9-e040-e00a18064a99
120,12460,2,1603596,5428,7230,510d47e4-2956-a3d9-e040-e00a18064a99
121,12460,3,1603597,7230,5428,510d47e4-2957-a3d9-e040-e00a18064a99
122,12460,4,1603598,7230,5428,510d47e4-2958-a3d9-e040-e00a18064a99
123,12461,1,1603591,7230,5428,510d47e4-2959-a3d9-e040-e00a18064a99
124,12461,2,1603592,7230,5428,510d47e4-295a-a3d9-e040-e00a18064a99
125,12461,3,1603593,7230,5428,510d47e4-295b-a3d9-e040-e00a18064a99
126,12461,4,1603594,7230,5428,510d47e4-295c-a3d9-e040-e00a18064a99
127,12462,2,4000001128,,,510d47db-1ef8-a3d9-e040-e00a18064a99
128,12462,1,474450,,,510d47db-1ef9-a3d9-e040-e00a18064a99
129,12463,2,4000009170,3074,2046,510d47db-491e-a3d9-e040-e00a18064a99
130,12463,1,466928,3049,2004,510D47DB-491F-A3D9-E040-E00A18064A99
131,12464,2,4000009171,3690,2888,510d47db-4920-a3d9-e040-e00a18064a99
132,12464,1,466930,3679,2866,510d47db-4921-a3d9-e040-e00a18064a99
133,12465,2,4000009172,3413,2307,510d47db-4922-a3d9-e040-e00a18064a99
134,12465,1,466931,3411,2291,510d47db-4923-a3d9-e040-e00a18064a99
135,12466,2,4000009173,3352,2312,510d47db-4924-a3d9-e040-e00a18064a99
136,12466,1,466932,3365,2305,510d47db-4925-a3d9-e040-e00a18064a99
137,12467,2,4000009174,3090,2102,510d47db-4926-a3d9-e040-e00a18064a99
